examination_id,user_id,conclusion_id,status,created_at,updated_at,active_flag
23,3,,1,2013-10-21 03:13:47 UTC,2013-10-21 03:13:47 UTC,1
22,6,,1,2013-10-17 08:28:19 UTC,2013-10-17 08:28:19 UTC,1
21,6,,1,2013-10-17 08:14:55 UTC,2013-10-17 08:14:55 UTC,1
20,6,,2,2013-10-17 08:03:39 UTC,2013-10-17 08:37:09 UTC,1
19,10,,2,2013-10-17 08:03:13 UTC,2013-10-17 08:36:46 UTC,1
18,9,,2,2013-10-17 08:02:31 UTC,2013-10-17 08:36:39 UTC,1
17,12,,1,2013-10-17 05:22:50 UTC,2013-10-17 05:22:50 UTC,1
16,4,,1,2013-10-17 04:47:51 UTC,2013-10-17 04:47:51 UTC,1
15,7,,2,2013-10-17 04:47:32 UTC,2013-10-18 11:44:11 UTC,1
14,7,,1,2013-10-17 04:45:45 UTC,2013-10-17 04:45:45 UTC,1
13,9,,2,2013-10-17 04:32:22 UTC,2013-10-17 04:35:16 UTC,1
12,6,,2,2013-10-17 04:28:13 UTC,2013-10-17 04:35:17 UTC,1
11,7,,2,2013-10-17 04:09:35 UTC,2013-10-17 04:35:18 UTC,1
10,8,,2,2013-10-17 04:09:33 UTC,2013-10-17 04:35:26 UTC,1
9,10,,2,2013-10-17 04:09:33 UTC,2013-10-17 04:35:26 UTC,1
8,6,,2,2013-10-17 04:09:31 UTC,2013-10-17 04:35:41 UTC,1
7,9,,2,2013-10-17 04:05:52 UTC,2013-10-17 04:35:46 UTC,1
6,5,,2,2013-10-17 03:32:37 UTC,2013-10-17 04:35:47 UTC,1
5,5,,2,2013-10-17 03:24:29 UTC,2013-10-17 03:28:35 UTC,1
4,4,,2,2013-10-17 03:23:23 UTC,2013-10-17 03:48:14 UTC,1
3,3,,2,2013-10-17 03:16:51 UTC,2013-10-17 03:39:58 UTC,1
2,1,,2,2013-10-17 03:13:00 UTC,2013-10-17 03:13:43 UTC,1
1,1,,1,2013-10-17 02:59:54 UTC,2013-10-17 02:59:54 UTC,1
