answer_sheet_id,user_id,exam_question_id,examination_id,subject_id,no,exam_result,exam_time,started_at,created_at,updated_at,active_flag
80,8,4,77,3,1,0,,2013-11-01 01:48:10 UTC,2013-11-01 01:48:01 UTC,2013-11-01 01:48:10 UTC,1
1,2,1,1,1,1,8,48,2013-10-21 06:27:36 UTC,2013-10-21 06:27:32 UTC,2013-10-21 06:28:24 UTC,1
78,20,4,75,3,1,0,2965,2013-10-31 08:32:59 UTC,2013-10-31 08:32:43 UTC,2013-10-31 09:22:24 UTC,1
74,18,1,71,1,1,24,4996,2013-10-31 08:07:44 UTC,2013-10-31 08:07:37 UTC,2013-10-31 09:31:00 UTC,1
76,18,4,73,3,1,0,3628,2013-10-31 08:30:39 UTC,2013-10-31 08:30:31 UTC,2013-10-31 09:31:07 UTC,1
77,19,4,74,3,1,0,3611,2013-10-31 08:32:41 UTC,2013-10-31 08:32:38 UTC,2013-10-31 09:32:52 UTC,1
75,19,1,72,1,1,25,7158,2013-10-31 08:07:56 UTC,2013-10-31 08:07:52 UTC,2013-10-31 10:07:14 UTC,1
73,20,1,70,1,1,17,8947,2013-10-31 08:07:39 UTC,2013-10-31 08:07:34 UTC,2013-10-31 10:36:46 UTC,1
79,8,4,76,3,1,0,,2013-11-01 01:45:56 UTC,2013-11-01 01:45:53 UTC,2013-11-01 01:45:56 UTC,1
17,9,2,14,2,1,21,1231,2013-10-23 09:03:08 UTC,2013-10-23 09:03:02 UTC,2013-10-23 09:23:39 UTC,1
45,9,4,44,3,1,0,,2013-10-28 10:07:02 UTC,2013-10-28 10:06:59 UTC,2013-10-28 10:07:02 UTC,1
3,2,1,2,1,1,0,7,2013-10-21 06:47:21 UTC,2013-10-21 06:47:18 UTC,2013-10-21 06:47:28 UTC,1
18,8,2,15,2,1,25,1219,2013-10-23 09:03:27 UTC,2013-10-23 09:03:03 UTC,2013-10-23 09:23:46 UTC,1
24,13,1,21,1,1,,,,2013-10-23 09:24:15 UTC,2013-10-23 09:24:15 UTC,1
33,15,2,31,2,1,29,1209,2013-10-24 02:05:45 UTC,2013-10-24 02:05:40 UTC,2013-10-24 02:25:54 UTC,1
19,11,2,16,2,1,16,1207,2013-10-23 09:04:24 UTC,2013-10-23 09:04:18 UTC,2013-10-23 09:24:31 UTC,1
34,5,1,32,1,1,,,,2013-10-28 07:50:57 UTC,2013-10-28 07:50:57 UTC,1
22,10,2,19,2,1,21,1059,2013-10-23 09:08:31 UTC,2013-10-23 09:08:18 UTC,2013-10-23 09:26:10 UTC,1
36,9,1,34,1,1,21,3978,2013-10-28 09:44:11 UTC,2013-10-28 09:43:54 UTC,2013-10-28 10:50:29 UTC,1
5,3,1,3,1,1,17,1767,2013-10-21 07:01:40 UTC,2013-10-21 07:00:58 UTC,2013-10-21 07:31:07 UTC,1
20,12,2,17,2,1,25,1220,2013-10-23 09:06:30 UTC,2013-10-23 09:06:20 UTC,2013-10-23 09:26:50 UTC,1
52,15,1,52,1,1,18,1616,2013-10-29 01:47:42 UTC,2013-10-29 01:47:38 UTC,2013-10-29 02:14:38 UTC,1
9,5,1,5,1,1,22,5700,2013-10-21 07:06:06 UTC,2013-10-21 07:05:59 UTC,2013-10-21 08:41:06 UTC,1
35,16,1,33,1,1,16,533,2013-10-28 07:51:34 UTC,2013-10-28 07:51:32 UTC,2013-10-28 08:00:27 UTC,1
7,4,1,4,1,1,18,5931,2013-10-21 07:06:01 UTC,2013-10-21 07:05:55 UTC,2013-10-21 08:44:52 UTC,1
27,10,2,24,2,1,29,153,2013-10-23 09:39:43 UTC,2013-10-23 09:39:36 UTC,2013-10-23 09:42:16 UTC,1
11,6,2,6,2,1,16,1720,2013-10-22 06:17:33 UTC,2013-10-22 06:17:23 UTC,2013-10-22 06:46:13 UTC,1
26,11,2,23,2,1,26,830,2013-10-23 09:30:06 UTC,2013-10-23 09:30:01 UTC,2013-10-23 09:43:56 UTC,1
12,5,2,8,2,1,1,13,2013-10-23 04:24:05 UTC,2013-10-23 04:24:01 UTC,2013-10-23 04:24:18 UTC,1
13,5,2,9,2,1,0,,2013-10-23 04:25:09 UTC,2013-10-23 04:25:06 UTC,2013-10-23 04:25:09 UTC,1
14,7,1,10,1,1,0,22,2013-10-23 08:08:02 UTC,2013-10-23 08:07:57 UTC,2013-10-23 08:08:24 UTC,1
15,7,4,11,3,1,,,,2013-10-23 08:10:31 UTC,2013-10-23 08:10:31 UTC,1
25,13,2,22,2,1,18,1170,2013-10-23 09:24:32 UTC,2013-10-23 09:24:23 UTC,2013-10-23 09:44:02 UTC,1
16,7,2,12,2,1,0,1579,2013-10-23 08:10:41 UTC,2013-10-23 08:10:38 UTC,2013-10-23 08:37:00 UTC,1
42,10,4,41,3,1,0,3606,2013-10-28 10:00:40 UTC,2013-10-28 10:00:37 UTC,2013-10-28 11:00:46 UTC,1
46,11,4,45,3,1,0,,2013-10-28 10:09:01 UTC,2013-10-28 10:08:57 UTC,2013-10-28 10:09:01 UTC,1
21,4,2,18,2,1,29,463,2013-10-23 09:07:05 UTC,2013-10-23 09:07:01 UTC,2013-10-23 09:14:48 UTC,1
23,5,2,20,2,1,29,577,2013-10-23 09:10:18 UTC,2013-10-23 09:10:11 UTC,2013-10-23 09:19:55 UTC,1
65,3,4,62,3,1,0,4262,2013-10-29 07:07:37 UTC,2013-10-29 07:07:34 UTC,2013-10-29 08:18:39 UTC,1
47,8,4,46,3,1,0,4974,2013-10-28 10:13:16 UTC,2013-10-28 10:13:11 UTC,2013-10-28 11:36:10 UTC,1
29,13,2,26,2,1,28,230,2013-10-23 09:51:22 UTC,2013-10-23 09:51:15 UTC,2013-10-23 09:55:12 UTC,1
30,12,2,27,2,1,30,181,2013-10-23 09:57:11 UTC,2013-10-23 09:57:08 UTC,2013-10-23 10:00:12 UTC,1
28,9,2,25,2,1,28,1209,2013-10-23 09:44:51 UTC,2013-10-23 09:44:47 UTC,2013-10-23 10:05:00 UTC,1
31,14,2,28,2,1,0,,2013-10-23 10:50:50 UTC,2013-10-23 10:50:45 UTC,2013-10-23 10:50:50 UTC,1
51,13,4,51,3,1,0,2430,2013-10-29 01:42:48 UTC,2013-10-29 01:42:45 UTC,2013-10-29 02:23:18 UTC,1
49,12,4,49,3,1,0,,2013-10-29 01:28:09 UTC,2013-10-29 01:28:06 UTC,2013-10-29 01:28:09 UTC,1
32,15,2,29,2,1,17,1082,2013-10-24 01:39:23 UTC,2013-10-24 01:38:51 UTC,2013-10-24 01:57:25 UTC,1
59,13,4,57,3,1,0,,2013-10-29 06:13:24 UTC,2013-10-29 06:13:21 UTC,2013-10-29 06:13:24 UTC,1
50,12,4,50,3,1,0,,2013-10-29 01:28:45 UTC,2013-10-29 01:28:42 UTC,2013-10-29 01:28:45 UTC,1
44,13,4,43,3,1,0,,2013-10-28 10:05:44 UTC,2013-10-28 10:05:36 UTC,2013-10-28 10:05:44 UTC,1
43,12,4,42,3,1,0,55649,2013-10-28 10:06:38 UTC,2013-10-28 10:05:30 UTC,2013-10-29 01:34:07 UTC,1
48,10,4,47,3,1,1,55403,2013-10-28 11:03:47 UTC,2013-10-28 11:03:45 UTC,2013-10-29 02:27:10 UTC,1
41,11,1,40,1,1,15,3453,2013-10-28 09:44:42 UTC,2013-10-28 09:44:38 UTC,2013-10-28 10:42:15 UTC,1
40,12,1,38,1,1,24,3619,2013-10-28 09:44:41 UTC,2013-10-28 09:44:18 UTC,2013-10-28 10:45:00 UTC,1
39,13,1,37,1,1,15,3721,2013-10-28 09:44:13 UTC,2013-10-28 09:44:04 UTC,2013-10-28 10:46:14 UTC,1
38,10,1,36,1,1,21,3844,2013-10-28 09:44:05 UTC,2013-10-28 09:44:01 UTC,2013-10-28 10:48:09 UTC,1
37,8,1,35,1,1,19,3868,2013-10-28 09:44:38 UTC,2013-10-28 09:43:55 UTC,2013-10-28 10:49:06 UTC,1
54,11,4,54,3,1,0,6,2013-10-29 02:44:28 UTC,2013-10-29 02:44:24 UTC,2013-10-29 02:44:34 UTC,1
53,15,4,53,3,1,0,4351,2013-10-29 02:17:35 UTC,2013-10-29 02:17:27 UTC,2013-10-29 03:30:06 UTC,1
62,3,4,59,3,1,0,,2013-10-29 07:06:49 UTC,2013-10-29 07:06:44 UTC,2013-10-29 07:06:49 UTC,1
63,3,4,60,3,1,0,,2013-10-29 07:07:04 UTC,2013-10-29 07:07:01 UTC,2013-10-29 07:07:04 UTC,1
64,3,4,61,3,1,0,,2013-10-29 07:07:18 UTC,2013-10-29 07:07:14 UTC,2013-10-29 07:07:18 UTC,1
57,4,1,56,1,1,23,3511,2013-10-29 06:09:28 UTC,2013-10-29 06:09:22 UTC,2013-10-29 07:07:59 UTC,1
55,17,1,55,1,1,19,3748,2013-10-29 06:09:06 UTC,2013-10-29 06:09:01 UTC,2013-10-29 07:11:34 UTC,1
60,3,1,58,1,1,19,2776,2013-10-29 06:29:22 UTC,2013-10-29 06:29:14 UTC,2013-10-29 07:15:38 UTC,1
82,11,4,79,3,1,0,,2013-11-01 01:49:40 UTC,2013-11-01 01:49:36 UTC,2013-11-01 01:49:40 UTC,1
66,18,2,63,2,1,27,836,2013-10-30 03:13:30 UTC,2013-10-30 03:13:20 UTC,2013-10-30 03:27:26 UTC,1
83,11,4,80,3,1,0,,2013-11-01 01:49:47 UTC,2013-11-01 01:49:45 UTC,2013-11-01 01:49:47 UTC,1
67,19,2,64,2,1,27,1114,2013-10-30 03:13:58 UTC,2013-10-30 03:13:53 UTC,2013-10-30 03:32:32 UTC,1
84,11,4,81,3,1,0,,2013-11-01 01:49:56 UTC,2013-11-01 01:49:53 UTC,2013-11-01 01:49:56 UTC,1
68,20,2,65,2,1,28,1163,2013-10-30 03:14:17 UTC,2013-10-30 03:14:00 UTC,2013-10-30 03:33:40 UTC,1
85,11,4,82,3,1,0,,2013-11-01 01:50:09 UTC,2013-11-01 01:50:03 UTC,2013-11-01 01:50:09 UTC,1
81,8,4,78,3,1,0,4288,2013-11-01 01:48:31 UTC,2013-11-01 01:48:27 UTC,2013-11-01 02:59:59 UTC,1
86,8,1,83,1,1,20,2620,2013-11-01 08:38:47 UTC,2013-11-01 08:38:43 UTC,2013-11-01 09:22:27 UTC,1
69,9,1,66,1,1,25,2166,2013-10-31 06:05:39 UTC,2013-10-31 06:02:24 UTC,2013-10-31 06:41:45 UTC,1
70,13,1,67,1,1,25,1976,2013-10-31 06:10:08 UTC,2013-10-31 06:10:04 UTC,2013-10-31 06:43:04 UTC,1
72,13,4,69,3,1,0,3381,2013-10-31 06:25:22 UTC,2013-10-31 06:25:19 UTC,2013-10-31 07:21:43 UTC,1
71,9,4,68,3,1,0,3640,2013-10-31 06:22:41 UTC,2013-10-31 06:22:38 UTC,2013-10-31 07:23:21 UTC,1
2,2,4,1,3,2,0,,2013-10-21 06:28:35 UTC,2013-10-21 06:27:33 UTC,2013-10-21 06:28:35 UTC,1
56,17,4,55,3,2,0,1869,2013-10-29 06:29:27 UTC,2013-10-29 06:09:02 UTC,2013-10-29 07:00:36 UTC,1
10,5,4,5,3,2,0,3934,2013-10-21 07:30:08 UTC,2013-10-21 07:05:59 UTC,2013-10-21 08:35:42 UTC,1
8,4,4,4,3,2,0,3178,2013-10-21 07:44:10 UTC,2013-10-21 07:05:55 UTC,2013-10-21 08:37:08 UTC,1
58,4,4,56,3,2,0,1816,2013-10-29 06:32:08 UTC,2013-10-29 06:09:23 UTC,2013-10-29 07:02:24 UTC,1
4,2,4,2,3,2,0,47,2013-10-21 06:47:32 UTC,2013-10-21 06:47:18 UTC,2013-10-21 06:48:19 UTC,1
6,3,4,3,3,2,0,,2013-10-21 07:31:35 UTC,2013-10-21 07:00:58 UTC,2013-10-21 07:31:35 UTC,1
61,3,4,58,3,2,0,,2013-10-29 07:06:32 UTC,2013-10-29 06:29:14 UTC,2013-10-29 07:06:32 UTC,1
