answer_id,question_id,answer_no,answer_content,answer_file,answer_correct,created_at,updated_at,active_flag
291,96,1,At least one character. Appendix G. Regular Expressions from MySQL manual is worth perusing before the interview.,,,2013-10-21 02:56:12,2013-10-21 02:56:12,1
292,97,1,SELECT MONTH(techpreparation_timestamp) from techpreparation_questions;,,,2013-10-21 02:56:28,2013-10-21 02:56:28,1
293,98,1,"SELECT DATE_FORMAT(techpreparation_timestamp, ‘%Y-%m-%d’) from techpreparation_questions; A similar TIME_FORMAT function deals with time.",,,2013-10-21 02:56:44,2013-10-21 02:56:44,1
38,13,1,"scope :administrators, where([:admin, true]",,0,2013-10-14 12:00:00,2013-10-14 12:00:00,1
294,99,1,"ADDDATE(techpreparation_publication_date, INTERVAL 3 MINUTE)",,,2013-10-21 02:56:58,2013-10-21 02:56:58,1
295,100,1,"Internally Unix timestamps are stored as 32-bit integers, while MySQL timestamps are stored in a similar manner, but represented in readable YYYY-MM-DD HH:MM:SS format.",,,2013-10-21 02:57:11,2013-10-21 02:57:11,1
296,101,1,"",,,2013-10-21 03:15:28,2013-10-21 03:15:28,1
42,14,1,"has_many :employees, :dependent => :nullify",,0,2013-10-14 12:00:00,2013-10-14 12:00:00,1
46,15,1,"create_index :users, :name",,0,2013-10-14 12:00:00,2013-10-14 12:00:00,1
50,16,1,root :to => 'welcome#index',,1,2013-10-14 12:00:00,2013-10-14 12:00:00,1
54,17,1,collection,,0,2013-10-14 12:00:00,2013-10-14 12:00:00,1
58,18,1,before :require_admin,,0,2013-10-14 12:00:00,2013-10-14 12:00:00,1
62,19,1,"redirect_to @book, :message => ""Book was successfully created.""",,0,2013-10-14 12:00:00,2013-10-14 12:00:00,1
66,20,1,link_for,,0,2013-10-14 12:00:00,2013-10-14 12:00:00,1
70,21,1,<%= yield :head %>,,1,2013-10-14 12:00:00,2013-10-14 12:00:00,1
74,22,1,/users/1/edit,,0,2013-10-14 12:00:00,2013-10-14 12:00:00,1
78,23,1,default :from => 'no-reply@example.com,,1,2013-10-14 12:00:00,2013-10-14 12:00:00,1
82,24,1,rails create ittrain,,0,2013-10-14 12:00:00,2013-10-14 12:00:00,1
86,25,1,ActionView,,0,2013-10-14 12:00:00,2013-10-14 12:00:00,1
90,26,1,“people”,,1,2013-10-14 12:00:00,2013-10-14 12:00:00,1
94,27,1,TRUE,,0,2013-10-14 12:00:00,2013-10-14 12:00:00,1
98,28,1,"User.where(:login, ""foo"")",,0,2013-10-14 12:00:00,2013-10-14 12:00:00,1
102,29,1,after_save,,1,2013-10-14 12:00:00,2013-10-14 12:00:00,1
106,30,1,"remove_column :users, :email",,1,2013-10-14 12:00:00,2013-10-14 12:00:00,1
110,31,1,updated_at,,0,2013-10-14 12:00:00,2013-10-14 12:00:00,1
114,32,1,"show, new, create, edit, update, destroy",,1,2013-10-14 12:00:00,2013-10-14 12:00:00,1
118,33,1,session[:user_id] = @user.id,,1,2013-10-14 12:00:00,2013-10-14 12:00:00,1
122,34,1,"comment_url(@message_board, @comment)",,0,2013-10-14 12:00:00,2013-10-14 12:00:00,1
126,35,1,request_from,,0,2013-10-14 12:00:00,2013-10-14 12:00:00,1
130,39,1,MOST,,0,2013-10-17 09:57:41,2013-10-17 11:10:30,1
134,40,1,"",1/1382004394exercise1_answer.jpg,,2013-10-17 10:06:34,2013-10-17 10:06:34,1
139,41,1,"","",,2013-10-18 08:41:28,2013-10-21 03:14:55,1
140,42,1,INSERT,,0,2013-10-21 01:55:54,2013-10-21 01:55:54,1
144,43,1,the SELECT clause only,,1,2013-10-21 01:58:20,2013-10-21 01:58:20,1
148,44,1,Different Mode Level,,0,2013-10-21 02:00:03,2013-10-21 02:00:03,1
152,45,1,MOST,,0,2013-10-21 02:01:41,2013-10-21 02:01:41,1
156,46,1,"INSERT INTO Projects (ProjectName, ProjectDescription) VALUES ('Content Development', 'Website content development project')",,1,2013-10-21 02:04:26,2013-10-21 02:04:26,1
160,47,1,INSERT INTO,,1,2013-10-21 02:05:20,2013-10-21 02:05:20,1
164,48,1,DELETE,,1,2013-10-21 02:07:00,2013-10-21 02:07:00,1
168,49,1,"SELECT CustomerName, COUNT(CustomerName) FROM Orders",,0,2013-10-21 02:08:41,2013-10-21 02:08:41,1
171,50,1,Strong Question Language,,0,2013-10-21 02:09:21,2013-10-21 02:09:21,1
174,51,1,SELECT,,1,2013-10-21 02:09:45,2013-10-21 02:09:45,1
417,132,1,"",,,2013-11-07 06:23:51,2013-11-07 06:23:51,1
413,131,1,git rebase work1 develop,,0,2013-11-07 03:24:56,2013-11-07 03:24:56,1
409,130,1,git clone git@github.com:framgia/proj.git,,1,2013-11-07 03:24:25,2013-11-07 03:24:25,1
405,129,1,git pull origin work1:develop,,0,2013-11-07 03:23:41,2013-11-07 03:23:41,1
401,128,1,git push origin develop:work1,,0,2013-11-07 03:23:05,2013-11-07 03:23:05,1
397,127,1,git merge br1,,1,2013-11-07 03:22:34,2013-11-07 03:22:34,1
393,126,1,git checkout -b br1,,0,2013-11-07 03:21:42,2013-11-07 03:21:42,1
389,125,1,git branche list,,0,2013-11-07 03:20:11,2013-11-07 03:20:11,1
385,124,1,git checkout br1,,0,2013-11-07 03:19:39,2013-11-07 03:19:39,1
381,123,1,git commit --recommit,,0,2013-11-07 03:19:05,2013-11-07 03:19:05,1
377,122,1,git remote repo1,,0,2013-11-07 03:18:28,2013-11-07 03:18:28,1
373,121,1,git branch -d work1,,1,2013-11-07 03:17:02,2013-11-07 03:17:02,1
369,120,1,git rm foo.txt,,0,2013-11-07 03:16:30,2013-11-07 03:16:30,1
256,76,1,Is used with the DISTINCT SQL keyword only.,,0,2013-10-21 02:35:16,2013-10-21 02:35:16,1
365,119,1,git delete foo.txt,,0,2013-11-07 03:15:40,2013-11-07 03:15:40,1
361,118,1,git mv foo.txt bar.txt,,1,2013-11-07 03:15:05,2013-11-07 03:15:05,1
357,117,1,git reset --soft,,0,2013-11-07 03:13:55,2013-11-07 03:13:55,1
353,116,1,git reset --soft,,0,2013-11-07 03:13:22,2013-11-07 03:13:22,1
349,115,1,git show,,0,2013-11-07 03:12:48,2013-11-07 03:12:48,1
345,114,1,git diff --c1 a3fbde --c2 d6aeba,,0,2013-11-07 03:12:09,2013-11-07 03:12:09,1
341,113,1,git diff HEAD,,1,2013-11-07 03:11:31,2013-11-07 03:11:31,1
337,112,1,git diff,,0,2013-11-07 03:09:42,2013-11-07 03:09:42,1
333,111,1,git diff,,1,2013-11-07 03:06:54,2013-11-07 03:06:54,1
329,110,1,git show,,0,2013-11-07 03:05:48,2013-11-07 03:05:48,1
325,109,1,git log --fille foo.txt,,0,2013-11-07 03:05:12,2013-11-07 03:05:12,1
321,108,1,git log,,0,2013-11-07 03:04:33,2013-11-07 03:04:33,1
317,107,1,git log --one,,0,2013-11-07 03:03:53,2013-11-07 03:03:53,1
313,106,1,git commitlog,,0,2013-11-07 03:02:36,2013-11-07 03:02:36,1
309,105,1,git commit,,1,2013-11-07 03:00:54,2013-11-07 03:00:54,1
305,104,1,git add . foo.txt,,0,2013-11-07 03:00:12,2013-11-07 03:00:12,1
301,103,1,git config -l,,0,2013-11-07 02:59:25,2013-11-07 02:59:25,1
297,102,1,git help,,1,2013-11-07 02:58:39,2013-11-07 02:58:39,1
178,52,1,SAVE,,0,2013-10-21 02:10:16,2013-10-21 02:10:16,1
182,53,1,SELECT Persons.FirstName,,0,2013-10-21 02:10:53,2013-10-21 02:10:53,1
185,54,1,SELECT *.Persons,,0,2013-10-21 02:11:32,2013-10-21 02:11:32,1
189,55,1,SELECT * FROM Persons WHERE FirstName'Peter',,0,2013-10-21 02:12:05,2013-10-21 02:12:05,1
193,56,1,SELECT * FROM Persons WHERE FirstName='a',,0,2013-10-21 02:25:26,2013-10-21 02:25:26,1
197,57,1,False,,0,2013-10-21 02:25:53,2013-10-21 02:25:53,1
199,58,1,SELECT * FROM Persons WHERE FirstName='Peter' AND LastName='Jackson',,1,2013-10-21 02:26:19,2013-10-21 02:26:19,1
202,59,1,SELECT * FROM Persons WHERE LastName BETWEEN 'Hansen' AND 'Pettersen',,1,2013-10-21 02:26:54,2013-10-21 02:26:54,1
205,60,1,SELECT DISTINCT,,1,2013-10-21 02:27:26,2013-10-21 02:27:26,1
208,61,1,ORDER BY,,1,2013-10-21 02:27:50,2013-10-21 02:27:50,1
212,62,1,SELECT * FROM Persons SORT BY 'FirstName' DESC,,0,2013-10-21 02:28:23,2013-10-21 02:28:23,1
216,63,1,"INSERT INTO Persons VALUES ('Jimmy', 'Jackson')",,1,2013-10-21 02:28:45,2013-10-21 02:28:45,1
219,64,1,UPDATE Persons SET LastName='Hansen' INTO LastName='Nilsen',,0,2013-10-21 02:29:09,2013-10-21 02:29:09,1
223,65,1,DELETE FROM Persons WHERE FirstName = 'Peter',,1,2013-10-21 02:30:12,2013-10-21 02:30:12,1
226,66,1,SELECT COUNT() FROM Persons,,0,2013-10-21 02:30:38,2013-10-21 02:30:38,1
230,67,1,ASC,,1,2013-10-21 02:31:10,2013-10-21 02:31:10,1
233,68,1,No,,1,2013-10-21 02:31:32,2013-10-21 02:31:32,1
235,69,1,"SELECT Username, Password FROM Users",,1,2013-10-21 02:31:55,2013-10-21 02:31:55,1
238,70,1,Cursor is acronym for Current Set Of Records and is a database object pointing to a currently selected set of records.,,1,2013-10-21 02:32:36,2013-10-21 02:32:36,1
241,71,1,Definition of the condition to be met for the rows to be returned.,,1,2013-10-21 02:33:10,2013-10-21 02:33:10,1
244,72,1,"The SQL ALTER TABLE clause modifies a table definition by altering, adding, or deleting table columns and/or constraints.",,1,2013-10-21 02:33:36,2013-10-21 02:33:36,1
248,73,1,The WHERE and the HAVING clauses are identical,,0,2013-10-21 02:34:05,2013-10-21 02:34:05,1
251,74,1,The AS SQL clause is used change the name of a column in the result set or to assign a name to a derived column.,,1,2013-10-21 02:34:30,2013-10-21 02:34:30,1
254,75,1,Yes,,1,2013-10-21 02:34:49,2013-10-21 02:34:49,1
1,1,1,COUNT(),,1,2013-10-11 12:00:00,2013-10-11 12:00:00,1
259,77,1,update only one row at a time.,,0,2013-10-21 02:43:07,2013-10-21 02:43:07,1
4,2,1,Specify range for search condition,,0,2013-10-11 12:00:00,2013-10-11 12:00:00,1
7,3,1,SELECT COUNT (user_id) FROM users would only return the number of user_id’s.,,1,2013-10-11 12:00:00,2013-10-11 12:00:00,1
