answer_sheet_detail_id,answer_sheet_id,question_id,answer_id,no,answer_content,answer_file,answer_correct,created_at,updated_at,active_flag
1,1,77,259,1,,,0,2013-10-21 06:27:32 UTC,2013-10-21 06:28:24 UTC,1
2,1,51,174,2,,,0,2013-10-21 06:27:32 UTC,2013-10-21 06:28:24 UTC,1
3,1,43,144,3,,,0,2013-10-21 06:27:32 UTC,2013-10-21 06:28:24 UTC,1
4,1,63,216,4,,,0,2013-10-21 06:27:32 UTC,2013-10-21 06:28:24 UTC,1
5,1,57,197,5,,,0,2013-10-21 06:27:32 UTC,2013-10-21 06:28:24 UTC,1
6,1,49,168,6,,,0,2013-10-21 06:27:32 UTC,2013-10-21 06:28:24 UTC,1
7,1,72,244,7,,,0,2013-10-21 06:27:33 UTC,2013-10-21 06:28:24 UTC,1
8,1,44,148,8,,,0,2013-10-21 06:27:33 UTC,2013-10-21 06:28:24 UTC,1
9,1,74,251,9,,,0,2013-10-21 06:27:33 UTC,2013-10-21 06:28:24 UTC,1
10,1,76,256,10,,,0,2013-10-21 06:27:33 UTC,2013-10-21 06:28:24 UTC,1
11,1,58,199,11,,,0,2013-10-21 06:27:33 UTC,2013-10-21 06:28:24 UTC,1
12,1,71,241,12,,,0,2013-10-21 06:27:33 UTC,2013-10-21 06:28:24 UTC,1
13,1,53,182,13,,,0,2013-10-21 06:27:33 UTC,2013-10-21 06:28:24 UTC,1
14,1,68,233,14,,,0,2013-10-21 06:27:33 UTC,2013-10-21 06:28:24 UTC,1
15,1,70,,15,,,0,2013-10-21 06:27:33 UTC,2013-10-21 06:27:33 UTC,1
16,1,1,,16,,,0,2013-10-21 06:27:33 UTC,2013-10-21 06:27:33 UTC,1
17,1,80,,17,,,0,2013-10-21 06:27:33 UTC,2013-10-21 06:27:33 UTC,1
18,1,55,,18,,,0,2013-10-21 06:27:33 UTC,2013-10-21 06:27:33 UTC,1
19,1,65,,19,,,0,2013-10-21 06:27:33 UTC,2013-10-21 06:27:33 UTC,1
20,1,61,,20,,,0,2013-10-21 06:27:33 UTC,2013-10-21 06:27:33 UTC,1
21,1,95,,21,aaa,,0,2013-10-21 06:27:33 UTC,2013-10-21 06:28:24 UTC,1
22,1,4,,22,bbb,,0,2013-10-21 06:27:33 UTC,2013-10-21 06:28:24 UTC,1
23,1,93,,23,ccc,,0,2013-10-21 06:27:33 UTC,2013-10-21 06:28:24 UTC,1
24,1,89,,24,ddd,,0,2013-10-21 06:27:33 UTC,2013-10-21 06:28:24 UTC,1
25,1,92,,25,eee,,0,2013-10-21 06:27:33 UTC,2013-10-21 06:28:24 UTC,1
26,3,62,212,1,,,0,2013-10-21 06:47:18 UTC,2013-10-21 06:47:28 UTC,1
27,3,57,197,2,,,0,2013-10-21 06:47:18 UTC,2013-10-21 06:47:28 UTC,1
28,3,71,,3,,,0,2013-10-21 06:47:18 UTC,2013-10-21 06:47:18 UTC,1
29,3,70,,4,,,0,2013-10-21 06:47:18 UTC,2013-10-21 06:47:18 UTC,1
30,3,63,,5,,,0,2013-10-21 06:47:18 UTC,2013-10-21 06:47:18 UTC,1
31,3,54,,6,,,0,2013-10-21 06:47:18 UTC,2013-10-21 06:47:18 UTC,1
32,3,81,,7,,,0,2013-10-21 06:47:18 UTC,2013-10-21 06:47:18 UTC,1
33,3,46,,8,,,0,2013-10-21 06:47:18 UTC,2013-10-21 06:47:18 UTC,1
34,3,60,,9,,,0,2013-10-21 06:47:18 UTC,2013-10-21 06:47:18 UTC,1
35,3,77,,10,,,0,2013-10-21 06:47:18 UTC,2013-10-21 06:47:18 UTC,1
36,3,52,,11,,,0,2013-10-21 06:47:18 UTC,2013-10-21 06:47:18 UTC,1
37,3,67,,12,,,0,2013-10-21 06:47:18 UTC,2013-10-21 06:47:18 UTC,1
38,3,65,,13,,,0,2013-10-21 06:47:18 UTC,2013-10-21 06:47:18 UTC,1
39,3,79,,14,,,0,2013-10-21 06:47:18 UTC,2013-10-21 06:47:18 UTC,1
40,3,48,,15,,,0,2013-10-21 06:47:18 UTC,2013-10-21 06:47:18 UTC,1
41,3,69,,16,,,0,2013-10-21 06:47:18 UTC,2013-10-21 06:47:18 UTC,1
42,3,55,,17,,,0,2013-10-21 06:47:18 UTC,2013-10-21 06:47:18 UTC,1
43,3,44,,18,,,0,2013-10-21 06:47:18 UTC,2013-10-21 06:47:18 UTC,1
44,3,47,,19,,,0,2013-10-21 06:47:18 UTC,2013-10-21 06:47:18 UTC,1
45,3,58,,20,,,0,2013-10-21 06:47:18 UTC,2013-10-21 06:47:18 UTC,1
46,3,100,,21,"",,0,2013-10-21 06:47:18 UTC,2013-10-21 06:47:28 UTC,1
47,3,82,,22,"",,0,2013-10-21 06:47:18 UTC,2013-10-21 06:47:28 UTC,1
48,3,93,,23,"",,0,2013-10-21 06:47:18 UTC,2013-10-21 06:47:28 UTC,1
49,3,83,,24,"",,0,2013-10-21 06:47:18 UTC,2013-10-21 06:47:28 UTC,1
50,3,85,,25,"",,0,2013-10-21 06:47:18 UTC,2013-10-21 06:47:28 UTC,1
51,4,41,,1,aaa,,0,2013-10-21 06:47:18 UTC,2013-10-21 06:47:37 UTC,1
52,5,49,169,1,,,0,2013-10-21 07:00:58 UTC,2013-10-21 07:31:07 UTC,1
53,5,73,249,2,,,0,2013-10-21 07:00:58 UTC,2013-10-21 07:31:07 UTC,1
54,5,80,271,3,,,0,2013-10-21 07:00:58 UTC,2013-10-21 07:31:07 UTC,1
55,5,46,156,4,,,0,2013-10-21 07:00:58 UTC,2013-10-21 07:31:07 UTC,1
56,5,1,1,5,,,0,2013-10-21 07:00:58 UTC,2013-10-21 07:31:07 UTC,1
57,5,51,174,6,,,0,2013-10-21 07:00:58 UTC,2013-10-21 07:31:07 UTC,1
58,5,47,160,7,,,0,2013-10-21 07:00:58 UTC,2013-10-21 07:31:07 UTC,1
59,5,58,201,8,,,0,2013-10-21 07:00:58 UTC,2013-10-21 07:31:07 UTC,1
60,5,55,191,9,,,0,2013-10-21 07:00:58 UTC,2013-10-21 07:31:07 UTC,1
61,5,2,6,10,,,0,2013-10-21 07:00:58 UTC,2013-10-21 07:31:07 UTC,1
62,5,81,275,11,,,0,2013-10-21 07:00:58 UTC,2013-10-21 07:31:07 UTC,1
63,5,72,244,12,,,0,2013-10-21 07:00:58 UTC,2013-10-21 07:31:07 UTC,1
64,5,65,223,13,,,0,2013-10-21 07:00:58 UTC,2013-10-21 07:31:07 UTC,1
65,5,63,216,14,,,0,2013-10-21 07:00:58 UTC,2013-10-21 07:31:07 UTC,1
66,5,56,194,15,,,0,2013-10-21 07:00:58 UTC,2013-10-21 07:31:07 UTC,1
67,5,78,263,16,,,0,2013-10-21 07:00:58 UTC,2013-10-21 07:31:07 UTC,1
68,5,71,241,17,,,0,2013-10-21 07:00:58 UTC,2013-10-21 07:31:07 UTC,1
69,5,61,209,18,,,0,2013-10-21 07:00:58 UTC,2013-10-21 07:31:07 UTC,1
70,5,69,235,19,,,0,2013-10-21 07:00:58 UTC,2013-10-21 07:31:07 UTC,1
71,5,43,144,20,,,0,2013-10-21 07:00:58 UTC,2013-10-21 07:31:07 UTC,1
72,5,4,,21,"",,0,2013-10-21 07:00:58 UTC,2013-10-21 07:31:07 UTC,1
73,5,3,,22,"",,0,2013-10-21 07:00:58 UTC,2013-10-21 07:31:07 UTC,1
74,5,92,,23,"",,0,2013-10-21 07:00:58 UTC,2013-10-21 07:31:07 UTC,1
75,5,98,,24,"",,0,2013-10-21 07:00:58 UTC,2013-10-21 07:31:07 UTC,1
76,5,85,,25,"",,0,2013-10-21 07:00:58 UTC,2013-10-21 07:31:07 UTC,1
77,6,41,,1,,,0,2013-10-21 07:00:58 UTC,2013-10-21 07:00:58 UTC,1
78,7,72,244,1,,,0,2013-10-21 07:05:55 UTC,2013-10-21 07:43:51 UTC,1
79,7,79,267,2,,,0,2013-10-21 07:05:55 UTC,2013-10-21 07:43:51 UTC,1
80,7,81,276,3,,,0,2013-10-21 07:05:55 UTC,2013-10-21 07:43:51 UTC,1
81,7,44,151,4,,,0,2013-10-21 07:05:55 UTC,2013-10-21 07:43:51 UTC,1
82,7,50,172,5,,,0,2013-10-21 07:05:55 UTC,2013-10-21 07:43:51 UTC,1
83,7,48,164,6,,,0,2013-10-21 07:05:55 UTC,2013-10-21 07:43:51 UTC,1
84,7,51,177,7,,,0,2013-10-21 07:05:55 UTC,2013-10-21 07:43:51 UTC,1
85,7,54,187,8,,,0,2013-10-21 07:05:55 UTC,2013-10-21 07:43:51 UTC,1
86,7,59,202,9,,,0,2013-10-21 07:05:55 UTC,2013-10-21 07:43:51 UTC,1
87,7,73,250,10,,,0,2013-10-21 07:05:55 UTC,2013-10-21 07:43:51 UTC,1
88,7,70,238,11,,,0,2013-10-21 07:05:55 UTC,2013-10-21 07:43:51 UTC,1
89,7,77,260,12,,,0,2013-10-21 07:05:55 UTC,2013-10-21 07:43:51 UTC,1
90,7,56,194,13,,,0,2013-10-21 07:05:55 UTC,2013-10-21 07:43:51 UTC,1
91,7,76,258,14,,,0,2013-10-21 07:05:55 UTC,2013-10-21 07:43:51 UTC,1
92,7,55,191,15,,,0,2013-10-21 07:05:55 UTC,2013-10-21 07:43:51 UTC,1
93,7,67,230,16,,,0,2013-10-21 07:05:55 UTC,2013-10-21 07:43:51 UTC,1
94,7,57,198,17,,,0,2013-10-21 07:05:55 UTC,2013-10-21 07:43:51 UTC,1
95,7,49,168,18,,,0,2013-10-21 07:05:55 UTC,2013-10-21 07:43:51 UTC,1
96,7,75,254,19,,,0,2013-10-21 07:05:55 UTC,2013-10-21 07:43:51 UTC,1
97,7,80,271,20,,,0,2013-10-21 07:05:55 UTC,2013-10-21 07:43:51 UTC,1
98,7,87,,21,"xóa những data bị sai trước, rồi xóa phần còn lại . Hoặc là sử dụng foreign_key để delete các dữ liệu liên quan đến record bị xóa.",,0,2013-10-21 07:05:55 UTC,2013-10-21 07:43:51 UTC,1
99,7,96,,22,"match data tương tự 1 biểu thức cho trước. ví dụ ""xy+z"" sẽ match với ""xyyyz"" hoặc là ""xyabcz"" chứ ko match với ""xz""",,1,2013-10-21 07:05:55 UTC,2013-10-21 08:44:51 UTC,1
100,7,88,,23,khi không delete theo ID.,,1,2013-10-21 07:05:55 UTC,2013-10-21 08:44:52 UTC,1
101,7,83,,24,"",,0,2013-10-21 07:05:55 UTC,2013-10-21 07:43:51 UTC,1
102,7,97,,25, SELECT MONTH('2008-02-03');  ---> 2,,1,2013-10-21 07:05:55 UTC,2013-10-21 08:44:52 UTC,1
103,8,41,,1,"a/ SELECT * FROM Students WHERE id IN (SELECT student_id FROM CourseRegisters where  subject_id = (SELECT id from Subject where name = 'X' OR name = 'Y' ))

",,0,2013-10-21 07:05:55 UTC,2013-10-21 08:37:08 UTC,1
104,9,81,275,1,,,0,2013-10-21 07:05:59 UTC,2013-10-21 07:29:58 UTC,1
105,9,80,271,2,,,0,2013-10-21 07:05:59 UTC,2013-10-21 07:29:58 UTC,1
106,9,61,208,3,,,0,2013-10-21 07:05:59 UTC,2013-10-21 07:29:58 UTC,1
107,9,45,153,4,,,0,2013-10-21 07:05:59 UTC,2013-10-21 07:29:58 UTC,1
108,9,62,215,5,,,0,2013-10-21 07:05:59 UTC,2013-10-21 07:29:58 UTC,1
109,9,59,202,6,,,0,2013-10-21 07:05:59 UTC,2013-10-21 07:29:58 UTC,1
110,9,44,151,7,,,0,2013-10-21 07:05:59 UTC,2013-10-21 07:29:58 UTC,1
111,9,77,259,8,,,0,2013-10-21 07:05:59 UTC,2013-10-21 07:29:58 UTC,1
112,9,67,230,9,,,0,2013-10-21 07:05:59 UTC,2013-10-21 07:29:58 UTC,1
113,9,54,187,10,,,0,2013-10-21 07:05:59 UTC,2013-10-21 07:29:58 UTC,1
114,9,72,244,11,,,0,2013-10-21 07:05:59 UTC,2013-10-21 07:29:58 UTC,1
115,9,71,241,12,,,0,2013-10-21 07:05:59 UTC,2013-10-21 07:29:58 UTC,1
116,9,47,160,13,,,0,2013-10-21 07:05:59 UTC,2013-10-21 07:29:58 UTC,1
117,9,60,205,14,,,0,2013-10-21 07:05:59 UTC,2013-10-21 07:29:58 UTC,1
118,9,76,257,15,,,0,2013-10-21 07:05:59 UTC,2013-10-21 07:29:58 UTC,1
119,9,57,198,16,,,0,2013-10-21 07:05:59 UTC,2013-10-21 07:29:58 UTC,1
120,9,52,181,17,,,0,2013-10-21 07:05:59 UTC,2013-10-21 07:29:58 UTC,1
121,9,74,251,18,,,0,2013-10-21 07:05:59 UTC,2013-10-21 07:29:58 UTC,1
