answer_id,question_id,answer_no,answer_content,answer_file,answer_correct,created_at,updated_at,active_flag
1,1,1,COUNT(),NULL,1,"2013-10-11 12:00:00","2013-10-11 12:00:00",1
2,1,2,NUMBER(),NULL,0,"2013-10-11 12:00:00","2013-10-11 12:00:00",1
3,1,3,SUM(),NULL,0,"2013-10-11 12:00:00","2013-10-11 12:00:00",1
4,2,1,"Specify range for search condition",NULL,0,"2013-10-11 12:00:00","2013-10-11 12:00:00",1
5,2,2,"Specify search condition",NULL,0,"2013-10-11 12:00:00","2013-10-11 12:00:00",1
6,2,3,"Specify what table we are selecting or deleting data from",NULL,1,"2013-10-11 12:00:00","2013-10-11 12:00:00",1
7,3,1,"SELECT COUNT (user_id) FROM users would only return the number of user_id’s.",NULL,1,"2013-10-11 12:00:00","2013-10-11 12:00:00",1
8,4,1,"Use DISTINCT in the query, such as SELECT DISTINCT user_firstname FROM users; You can also ask for a number of distinct values by saying SELECT COUNT (DISTINCT user_firstname) FROM users;",NULL,1,"2013-10-11 12:00:00","2013-10-11 12:00:00",1
9,5,1,NULL,1/exercise1_answer.jpg,1,"2013-10-11 12:00:00","2013-10-11 12:00:00",1
10,6,1,"rails c",NULL,0,"2013-10-14 12:00:00","2013-10-14 12:00:00",1
11,6,2,rails,NULL,0,"2013-10-14 12:00:00","2013-10-14 12:00:00",1
12,6,3,"rails a",NULL,0,"2013-10-14 12:00:00","2013-10-14 12:00:00",1
13,6,4,"rails s",NULL,1,"2013-10-14 12:00:00","2013-10-14 12:00:00",1
14,7,1,"rake route",NULL,0,"2013-10-14 12:00:00","2013-10-14 12:00:00",1
15,7,2,"rake routings",NULL,0,"2013-10-14 12:00:00","2013-10-14 12:00:00",1
16,7,3,"rake routes",NULL,1,"2013-10-14 12:00:00","2013-10-14 12:00:00",1
17,7,4,"rake routing",NULL,0,"2013-10-14 12:00:00","2013-10-14 12:00:00",1
18,8,1,"rake db:migrate",NULL,0,"2013-10-14 12:00:00","2013-10-14 12:00:00",1
19,8,2,"rake db:add",NULL,0,"2013-10-14 12:00:00","2013-10-14 12:00:00",1
20,8,3,"rake db:schema:load",NULL,0,"2013-10-14 12:00:00","2013-10-14 12:00:00",1
21,8,4,"rake db:create",NULL,1,"2013-10-14 12:00:00","2013-10-14 12:00:00",1
22,9,1,"{:foo => 'bar'}",NULL,0,"2013-10-14 12:00:00","2013-10-14 12:00:00",1
23,9,2,"{'foo' => 'hoge'}",NULL,0,"2013-10-14 12:00:00","2013-10-14 12:00:00",1
24,9,3,"{'foo' => 'bar', :foo => 'hoge'}",NULL,0,"2013-10-14 12:00:00","2013-10-14 12:00:00",1
25,9,4,"{:foo => 'hoge'}",NULL,1,"2013-10-14 12:00:00","2013-10-14 12:00:00",1
26,10,1,"validates :title, :length, maximum: 20",NULL,0,"2013-10-14 12:00:00","2013-10-14 12:00:00",1
27,10,2,"validates :title, maximum: 20",NULL,0,"2013-10-14 12:00:00","2013-10-14 12:00:00",1
28,10,3,"validates :title, length: {maximum: 20}",NULL,1,"2013-10-14 12:00:00","2013-10-14 12:00:00",1
29,10,4,"validates :title, length: true, maximum: 20
",NULL,0,"2013-10-14 12:00:00","2013-10-14 12:00:00",1
30,11,1,"validates :age, numericality: {greater_than_or_equal_to: 0, only_integer: true}",NULL,1,"2013-10-14 12:00:00","2013-10-14 12:00:00",1
31,11,2,"validates :age, numericality: {greater_than_or_equal_to: 0}",NULL,0,"2013-10-14 12:00:00","2013-10-14 12:00:00",1
32,11,3,"validates :age, integer: {greater_than_or_equal_to: 0}",NULL,0,"2013-10-14 12:00:00","2013-10-14 12:00:00",1
33,11,4,"validates :age, only_integer: {greater_than_or_equal_to: 0}",NULL,0,"2013-10-14 12:00:00","2013-10-14 12:00:00",1
34,12,1,"update_attributes! Khi validate lỗi thì trả về ngoại lệ",NULL,1,"2013-10-14 12:00:00","2013-10-14 12:00:00",1
35,12,2,"update_attributes! Dù validate lỗi thì vẫn cập nhật record",NULL,0,"2013-10-14 12:00:00","2013-10-14 12:00:00",1
36,12,3,"update_attributes Khi validate lỗi thì trả về ngoại lệ",NULL,0,"2013-10-14 12:00:00","2013-10-14 12:00:00",1
37,12,4,"update_attributes Dù validate lỗi thì vẫn cập nhật record",NULL,0,"2013-10-14 12:00:00","2013-10-14 12:00:00",1
38,13,1,"scope :administrators, where([:admin, true]",NULL,0,"2013-10-14 12:00:00","2013-10-14 12:00:00",1
39,13,2,"scope :administrators, :where => {:admin => true}",NULL,0,"2013-10-14 12:00:00","2013-10-14 12:00:00",1
40,13,3,"scope :administrators, where(:admin => true)",NULL,1,"2013-10-14 12:00:00","2013-10-14 12:00:00",1
41,13,4,"scope :administrators, :admin => true",NULL,0,"2013-10-14 12:00:00","2013-10-14 12:00:00",1
42,14,1,"has_many :employees, :dependent => :nullify",NULL,0,"2013-10-14 12:00:00","2013-10-14 12:00:00",1
43,14,2,"has_many :employees, :dependent => :destroy",NULL,1,"2013-10-14 12:00:00","2013-10-14 12:00:00",1
44,14,3,"has_many :employees, :autodestroy => :true",NULL,0,"2013-10-14 12:00:00","2013-10-14 12:00:00",1
45,14,4,"has_many :employees, :autonullify => true",NULL,0,"2013-10-14 12:00:00","2013-10-14 12:00:00",1
46,15,1,"create_index :users, :name",NULL,0,"2013-10-14 12:00:00","2013-10-14 12:00:00",1
47,15,2,"use_index :users, :name",NULL,0,"2013-10-14 12:00:00","2013-10-14 12:00:00",1
48,15,3,"index :users, :name",NULL,0,"2013-10-14 12:00:00","2013-10-14 12:00:00",1
49,15,4,"add_index :users, :name",NULL,1,"2013-10-14 12:00:00","2013-10-14 12:00:00",1
50,16,1,"root :to => 'welcome#index'",NULL,1,"2013-10-14 12:00:00","2013-10-14 12:00:00",1
51,16,2,"root 'welcome#index'",NULL,0,"2013-10-14 12:00:00","2013-10-14 12:00:00",1
52,16,3,"match :root => 'welcome#index'",NULL,0,"2013-10-14 12:00:00","2013-10-14 12:00:00",1
53,16,4,"get :root => 'welcome#index'",NULL,0,"2013-10-14 12:00:00","2013-10-14 12:00:00",1
54,17,1,collection,NULL,0,"2013-10-14 12:00:00","2013-10-14 12:00:00",1
55,17,2,namespace,NULL,0,"2013-10-14 12:00:00","2013-10-14 12:00:00",1
56,17,3,member,NULL,1,"2013-10-14 12:00:00","2013-10-14 12:00:00",1
57,17,4,match,NULL,0,"2013-10-14 12:00:00","2013-10-14 12:00:00",1
58,18,1,"before :require_admin",NULL,0,"2013-10-14 12:00:00","2013-10-14 12:00:00",1
59,18,2,"before_filter :require_admin",NULL,1,"2013-10-14 12:00:00","2013-10-14 12:00:00",1
60,18,3,"after_filter :require_admin
",NULL,0,"2013-10-14 12:00:00","2013-10-14 12:00:00",1
61,18,4,"after :require_admin",NULL,0,"2013-10-14 12:00:00","2013-10-14 12:00:00",1
62,19,1,"redirect_to @book, :message => ""Book was successfully created.""",NULL,0,"2013-10-14 12:00:00","2013-10-14 12:00:00",1
63,19,2,"redirect_to @book, :notice => ""Book was successfully created.""",NULL,1,"2013-10-14 12:00:00","2013-10-14 12:00:00",1
64,19,3,"redirect @book, :notice => ""Book was successfully created.""",NULL,0,"2013-10-14 12:00:00","2013-10-14 12:00:00",1
65,19,4,"redirect @book, :message => ""Book was successfully created.""",NULL,0,"2013-10-14 12:00:00","2013-10-14 12:00:00",1
66,20,1,link_for,NULL,0,"2013-10-14 12:00:00","2013-10-14 12:00:00",1
67,20,2,link_tag,NULL,0,"2013-10-14 12:00:00","2013-10-14 12:00:00",1
68,20,3,link_to,NULL,1,"2013-10-14 12:00:00","2013-10-14 12:00:00",1
